,geometry,site_name,water_pixels_orig,inundated_vegetation_orig,total_pixels_orig,water_pixels_crop,inundated_vegetation_crop,total_pixels_crop,percent_water_orig,percent_inundated_vegetation_orig,percent_water_crop,percent_inundated_vegetation_crop,percent_total_water_orig,percent_total_water_crop
66,"POLYGON ((-88.11540077051583 18.11771812561013, -88.11511508916907 18.072533979245975, -88.16235604755578 18.072255360979522, -88.16265382505495 18.117438763863742, -88.11540077051583 18.11771812561013))",4_18,58320.0,234936.0,1247568,12765.0,97706.0,250000,4.674695086760802,18.831518602593206,5.106,39.0824,23.50621368935401,44.1884
67,"POLYGON ((-90.35256288989058 16.341044825540756, -90.35317030598864 16.295892622844654, -90.3999231919881 16.296473172953434, -90.39932647537267 16.341627071441664, -90.35256288989058 16.341044825540756))",3_10,9198.0,854.0,1250952,8526.0,757.0,250000,0.7352800107438175,0.06826800708580345,3.4104,0.3028,0.803548017829621,3.7132
68,"POLYGON ((-13.153149693397031 15.440782602897807, -13.153548932124973 15.395601751412105, -13.200120415588366 15.39598356743978, -13.19973123309482 15.441165593418797, -13.153149693397031 15.440782602897807))",2_38,0.0,0.0,1249908,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
69,"POLYGON ((101.89376232755859 13.583665785967685, 101.89321531167943 13.538512177827203, 101.84706404808705 13.539042158958875, 101.8476023672032 13.584197600034225, 101.89376232755859 13.583665785967685))",2_16,1912.0,0.0,1253224,1199.0,0.0,250000,0.15256650048195694,0.0,0.47959999999999997,0.0,0.15256650048195694,0.47959999999999997
70,"POLYGON ((-8.966077020584027 13.100240067113848, -8.966083198916856 13.05502676140184, -9.012201246770172 13.055028696825987, -9.012203469367128 13.100242009470895, -8.966077020584027 13.100240067113848))",2_23,276.0,0.0,1248764,276.0,0.0,250000,0.022101854313545236,0.0,0.1104,0.0,0.022101854313545236,0.1104
71,"POLYGON ((-5.404288069421349 11.840015822235843, -5.403893761682701 11.794838348788907, -5.449748830536436 11.794446980466333, -5.450150641651777 11.839622913072535, -5.404288069421349 11.840015822235843))",2_18,2691.0,3514.0,1251936,1291.0,16.0,250000,0.21494708994708994,0.28068527464662735,0.5164,0.0063999999999999994,0.4956323645937173,0.5227999999999999
72,"POLYGON ((36.785258763991216 11.479885938059152, 36.785610630316725 11.4347012742612, 36.73980817366081 11.434351314135531, 36.739449044284356 11.479534558858527, 36.785258763991216 11.479885938059152))",1_27,0.0,0.0,1251965,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
73,"POLYGON ((-69.41467142237885 11.245114295108491, -69.4146069115223 11.199896122439794, -69.46040586838228 11.199829056266287, -69.4604775047548 11.245046951369535, -69.41467142237885 11.245114295108491))",3_33,26335.0,0.0,1248750,22900.0,0.0,250000,2.108908908908909,0.0,9.16,0.0,2.108908908908909,9.16
74,"POLYGON ((22.412339070016248 10.76057016452259, 22.41212908457691 10.715363186058841, 22.366416735240364 10.715567038456006, 22.366619928436474 10.760774896677363, 22.412339070016248 10.76057016452259))",2_22,0.0,0.0,1248806,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
75,"POLYGON ((30.09682141773891 10.579745404176755, 30.097245489837878 10.534582479475228, 30.051606479451117 10.534160507502676, 30.051175763191306 10.579321583082898, 30.09682141773891 10.579745404176755))",2_15,0.0,0.0,1253008,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
